Num,Date,Name,NameRus,Rating_10,Rating,Year,Duration,Type
1,2025-01-31,No Country for Old Men,Старикам тут не место,8,4.0,2007,122,film
2,2025-01-29,Seven Psychopaths,Семь психопатов,10,5.0,2012,110,film
3,2024-10-02,Zombeavers,Бобры-зомби,7,3.5,2014,78,film
4,2024-10-02,Cocaine Bear,Кокаиновый медведь,10,5.0,2023,95,film
5,2024-10-02,The Office,Офис,10,5.0,2005 – 2013,22,series
6,2024-08-23,Joker,Джокер,7,3.5,2019,122,film
7,2024-04-19,Norsemen,Северяне,10,5.0,2016 – 2020,30,series
8,2024-04-03,Airplane!,Аэроплан,8,4.0,1980,88,film
9,2024-04-03,Rocky,Рокки,6,3.0,1976,120,film
10,2024-04-03,Taxi Driver,Таксист,6,3.0,1976,114,film
11,2024-04-03,The Shining,Сияние,7,3.5,1980,144,film
12,2024-04-03,A Clockwork Orange,Заводной апельсин,8,4.0,1971,137,film
13,2024-03-28,Police Academy,Полицейская академия,7,3.5,1984,92,film
14,2024-03-28,The Simpsons,Симпсоны,7,3.5,1989 – ...,22,series
15,2024-03-28,South Park,Южный Парк,10,5.0,1997 – ...,22,series
16,2024-03-28,IT,Оно,7,3.5,2017,135,film
17,2024-03-27,Tucker and Dale vs Evil,Убойные каникулы,8,4.0,2010,85,film
18,2024-03-27,American Psycho,Американский психопат,6,3.0,2000,102,film
19,2024-03-09,Intouchables,1+1,7,3.5,2011,112,film
20,2024-02-19,Shaun of the Dead,Зомби по имени Шон,9,4.5,2004,100,film
21,2024-02-11,The Man Who Wasn't There,"Человек, которого не было",5,2.5,2001,116,film
22,2024-02-11,Raising Arizona,Воспитание Аризоны,7,3.5,1987,94,film
23,2024-02-11,Fargo,Фарго,10,5.0,1995,98,film
24,2024-02-11,Reservoir Dogs,Бешеные псы,3,1.5,1991,100,film
25,2024-02-11,The Usual Suspects,Подозрительные лица,6,3.0,1995,106,film
26,2024-02-11,The Grand Budapest Hotel,Отель «Гранд Будапешт»,8,4.0,2014,100,film
27,2023-12-18,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"Не грози Южному Централу, попивая сок у себя в квартале",9,4.5,1995,89,film
28,2023-12-18,The Big Lebowski,Большой Лебовски,10,5.0,1998,117,film
29,2023-11-29,Cargo 200,Груз 200,10,5.0,2007,90,film
30,2023-11-27,Kill Bill: Vol. 2,Убить Билла 2,5,2.5,2004,137,film
31,2023-11-27,Kill Bill: Vol. 1,Убить Билла,5,2.5,2003,111,film
32,2023-11-27,Hachi: A Dog's Tale,Хатико: Самый верный друг,4,2.0,2008,89,film
33,2023-11-27,Gladiator,Гладиатор,5,2.5,2000,155,film
34,2023-11-27,Ghostland,Страна призраков,10,5.0,2017,91,film
35,2023-11-27,It Chapter Two,Оно 2,8,4.0,2019,169,film
36,2023-11-27,The Hateful Eight,Омерзительная восьмерка,10,5.0,2015,168,film
37,2023-11-27,Burn After Reading,После прочтения сжечь,1,0.5,2008,92,film
38,2023-11-27,In Bruges,Залечь на дно в Брюгге,7,3.5,2007,107,film
39,2023-11-27,Mad Max: Fury Road,Безумный Макс: Дорога ярости,9,4.5,2015,120,film
40,2023-11-27,One Flew Over the Cuckoo's Nest,Пролетая над гнездом кукушки,10,5.0,1975,133,film
41,2023-11-27,Groundhog Day,День сурка,7,3.5,1993,101,film
42,2023-11-27,"Il buono, il brutto, il cattivo","Хороший, плохой, злой",7,3.5,1966,178,film
43,2023-11-27,Inglourious Basterds,Бесславные ублюдки,10,5.0,2009,153,film
44,2023-11-27,Se7en,Семь,7,3.5,1995,127,film
45,2023-11-27,The Silence of the Lambs,Молчание ягнят,10,5.0,1990,118,film
46,2023-11-27,The Godfather: Part II,Крестный отец 2,1,0.5,1974,202,film
47,2023-11-27,The Truman Show,Шоу Трумана,1,0.5,1998,103,film
48,2023-11-27,Treasure Island,Остров сокровищ,9,4.5,1988,107,film
49,2023-11-27,The Godfather,Крестный отец,1,0.5,1972,175,film
50,2023-11-27,Shutter Island,Остров проклятых,5,2.5,2009,138,film
51,2023-11-27,Sherlock Holmes and Dr. Watson: The Treasures of Agra,Шерлок Холмс и доктор Ватсон: Сокровища Агры,9,4.5,1983,151,film
52,2023-11-27,Brother 2,Брат 2,6,3.0,2000,127,film
53,2023-11-27,Harry Potter and the Chamber of Secrets,Гарри Поттер и Тайная комната,10,5.0,2002,161,film
54,2023-11-27,Pirates of the Caribbean: The Curse of the Black Pearl,Пираты Карибского моря: Проклятие Черной жемчужины,10,5.0,2003,143,film
55,2023-11-27,Brother,Брат,8,4.0,1997,96,film
56,2023-11-27,Snatch,Большой куш,5,2.5,2000,104,film
57,2023-11-27,Heart of a Dog,Собачье сердце,9,4.5,1988,136,film
58,2023-11-27,"Operation ""Y"" and other adventures of Shurik",Операция «Ы» и другие приключения Шурика,8,4.0,1965,95,film
59,2023-11-27,... And the dawns here are quiet,...А зори здесь тихие,7,3.5,1972,160,film
60,2023-11-27,Inception,Начало,7,3.5,2010,148,film
61,2023-11-27,Gentlemen of fortune,Джентльмены удачи,6,3.0,1971,84,film
62,2023-11-27,Ivan Vasilyevich changes his profession,Иван Васильевич меняет профессию,9,4.5,1973,88,film
63,2023-11-27,Fight Club,Бойцовский клуб,8,4.0,1999,139,film
64,2023-11-27,Forrest Gump,Форрест Гамп,8,4.0,1994,142,film
65,2023-11-27,The Shawshank Redemption,Побег из Шоушенка,9,4.5,1994,142,film
66,2023-11-27,The Green Mile,Зеленая миля,10,5.0,1999,189,film
67,2023-11-27,12 Angry Men,12 разгневанных мужчин,7,3.5,1956,96,film
68,2023-11-27,Pulp Fiction,Криминальное чтиво,10,5.0,1994,154,film
